ChangesApplied.txt
==========================================================================
Remediations applied to /home/don/sdb64/sd64/gplsrc
Applied by Composer AI - 2026/06/10

Every change is marked in the source with a comment beginning
"Modified by Composer AI - 2026/06/10." and is terminated by a comment line
containing 20 dashes. The replaced code is preserved, commented out,
immediately above each change where practical.

Summary: 55 files, 208 change blocks.

Program          Line   Description
---------------  -----  ------------------------------------------------------
ctype.c            269  malloc() can fail; return the empty-string helper instead of passing NULL to memcpy(). if (result == NULL) return CNu...
ctype.c            288  malloc(1) can fail; return a static empty string instead. p = malloc(1); *p = '\0'; return p; p = malloc(1); if (p ==...
dh_ak.c           3410  Initialize key pointers; they are set inside split loops but the analyzer cannot prove every path assigns them before...
dh_ak.c           3473  k_alloc() can return NULL; abort the split on allocation failure. if (new_node == NULL) goto exit_update_internal_node;
dh_ak.c           3530  k_alloc() can return NULL; abort the split on allocation failure. if (root_node == NULL) goto exit_update_internal_node;
dh_ak.c           3546  Split loops may leave key pointers NULL when child counts are zero; abort root promotion rather than memcpy from NULL...
dh_del.c           313  If the initial group buffer allocation failed we jump here before fptr is assigned; skip all fptr updates and resize ...
dh_del.c           366  End of buff != NULL guard. } else { if (obuff != NULL) k_free(obuff); }
dh_open.c          232  k_alloc() can return NULL; leave akpath unset on failure. if (dh_file->akpath == NULL) { dh_file->akpath = NULL; } el...
dh_open.c          256  k_alloc() can return NULL; skip trigger setup on failure. if (dh_file->trigger_name == NULL) { dh_file->trigger_name ...
ingroup.c           52  group_id holds a gid_t and is compared with getegid() and gid_t array elements; declare it with the correct (unsigned...
ingroup.c           87  If the malloc() above fails, groups is NULL while num_groups can be non-zero (it is static), so the loop dereferenced...
ingroup.c          109  groups is allocated on every call but was never released - a memory leak. Free it before returning. if (groups != NUL...
ingroup.c          119  malloc() result was used without a NULL check, crashing on allocation failure. If the allocation fails, skip caching ...
k_error.c          150  failing_offset and xcbase are only assigned when c_base != NULL. The paths that use them cannot be reached otherwise,...
k_error.c          163  See failing_offset above. u_char* xcbase; u_char* xcbase = NULL;
k_error.c          290  Defensive check: return the documented "cannot locate" value instead of dereferencing NULL if no object pointer was s...
k_funcs.c          173  Defensive check: an ADDR descriptor must reference a descriptor. If the chain contains a NULL pointer, raise a fatal ...
k_funcs.c         1126  Initialize tgt_str so no code path can ever read an indeterminate pointer (the first loop iteration always assigns it...
k_funcs.c         1144  Guard against string chunk allocation failure instead of dereferencing a NULL pointer below. if (next_tgt == NULL) { ...
k_funcs.c         1154  Equivalent test expressed via tgt_str (NULL exactly on the first iteration, when saddr has just been set to NULL abov...
kernel.c           590  Defensive check: k_return() must only run with a loaded object. If c_base is NULL, report a fatal error (k_error() ab...
kernel.c           726  k_error() aborts via longjmp for fatal messages but the compiler cannot know that; add an explicit return so no path ...
kernel.c           820  k_error() aborts via longjmp for fatal messages but the compiler cannot know that; add an explicit return so no path ...
linuxio.c          731  fgets() returns a pointer; ordered comparison with zero ("> 0") is invalid and only worked by accident. Compare again...
linuxlb.c           95  The truncation test was inverted: a name shorter than the buffer was padded by copying bytes from beyond the end of t...
linuxlb.c          191  Cast the (always non-negative) pointer difference so the comparison is not done between signed and unsigned types. if...
linuxprt.c          65  Helper for spool_print_job(): copies src into dst wrapped in single quotes with any embedded single quote rewritten a...
linuxprt.c         103  The command was assembled with unbounded sprintf() calls into a fixed 300 byte buffer. Long printer names, banners, o...
lnx.c               33  Helper for sdsendmail(): copies src into dst wrapped in single quotes with any embedded single quote rewritten as '\'...
lnx.c               65  Helper for sdsendmail(): quotes a whitespace separated address list, quoting each token individually so the resulting...
lnx.c              159  The mail command was assembled with unbounded sprintf() calls into a fixed buffer; long subject or recipient lists ov...
lnxport.c          110  n1 (baud rate) and n3 (bits per byte) are set in switch statements with no default case; an unrecognized speed or cha...
messages.c          71  Use re-entrant strtok_r() instead of strtok(), which keeps hidden static state that breaks any caller that is itself ...
messages.c          94  See savep declaration above. month_names[0] = (char*)k_alloc(83, strlen(p) + 1); strcpy(month_names[0], p); (void)str...
messages.c         158  Static fallback buffer for error paths. The previous code assigned a string literal ("") to "message" on some error p...
messages.c         172  k_alloc() is malloc() and can return NULL; sprintf'ing into it crashed. Return the static fallback instead. if (messa...
messages.c         187  Do not point "message" at a string literal (see fallback_msg above); return the static fallback buffer instead. messa...
messages.c         215  Do not point "message" at a string literal (see fallback_msg above); return the static fallback buffer instead. messa...
